phot_g_mean_mag,bp_rp
18.785986,0.89299965
17.531963,0.7742672
14.950948,1.1188793
17.748764,0.7682934
18.025326,0.8172226
18.495462,0.85071564
17.44821,0.77368164
18.721825,0.9182377
18.754412,0.91085243
17.21264,0.7874546
17.977098,0.792078
14.538416,1.1630344
16.961285,0.9691448
19.152632,1.100277
18.532385,0.9111557
17.985708,0.75390434
15.20902,1.0779943
17.750837,0.7606449
16.007738,1.0439634
18.311432,0.8267727
18.234743,0.82281876
19.480412,1.0445309
19.807264,
17.750301,0.7654228
19.623857,1.0790405
17.559395,0.77264977
13.881547,1.0438375
19.56898,1.093832
17.22603,0.7939434
19.651678,0.97343636
17.109308,0.83109856
17.82416,0.75832176
18.443705,0.8690014
19.075474,0.98711014
17.772808,0.7743244
17.185505,0.7821045
18.344841,0.8196831
18.555397,0.8757477
18.005686,0.80160904
18.182674,0.8293991
18.19464,0.8090706
18.564991,0.8672905
17.048275,0.83732796
18.481823,0.81866646
17.745811,0.80589104
19.146204,0.9943485
17.125135,0.8122406
18.906778,0.93520164
17.523285,0.7656288
17.01672,0.8141918
17.532995,0.76189613
19.13361,
12.40867,1.4545736
18.199442,0.8111286
16.240894,1.0169401
17.725376,0.7877159
18.481678,0.9038353
18.308748,0.84267807
19.346722,1.0515537
18.140743,0.8247547
17.003101,0.8667469
13.481818,1.034502
17.97841,0.78061104
19.840244,1.1370811
17.522854,0.79439163
18.13282,0.80633545
18.306559,0.82401085
16.007097,1.03656
17.451866,0.7907028
17.639284,0.7732086
16.931301,0.9739094
17.266293,0.790308
17.573235,0.77251244
17.45254,0.8219719
18.816519,0.7771816
19.03808,0.9491577
17.148773,0.8228493
18.692488,0.92162323
17.50096,0.79019165
18.615206,0.8435192
18.347599,0.7984066
11.684949,1.5975485
19.158588,0.94763565
17.119238,0.7982445
18.706057,0.90389633
17.44573,0.7653713
18.717453,0.9126129
19.963749,1.01021
19.142439,1.132822
18.120895,0.8106022
18.66252,0.88671684
18.233667,0.81653976
15.735181,1.0617647
18.544668,0.85705566
18.944565,0.9673672
19.791246,1.1878548
19.555847,1.074604
17.40594,0.78831863
18.259254,0.80169106
16.765692,1.0254936
16.881645,0.97667694
19.639692,1.1406212
19.525112,1.1152935
17.505014,
17.462284,0.8021507
17.852049,0.7550125
18.093616,0.79076385
18.629993,0.9231987
19.213089,0.9302063
19.154161,0.9789524
17.14309,0.79620934
18.981853,0.88918114
18.840063,0.9021549
18.320686,
18.842413,0.90075874
17.415514,0.7595272
18.68848,0.9356003
18.050383,0.77965355
17.77639,0.77033997
17.421513,0.6854954
19.125208,1.092392
18.480076,0.8056259
17.58193,0.78352165
19.149662,0.93235207
18.586992,0.86205673
17.638323,0.7408867
17.641016,0.7556248
19.526814,1.1056271
17.731352,0.75805473
19.22743,0.97665024
19.359055,1.0776825
19.793894,1.009882
18.184006,0.85302925
18.879618,0.889658
18.419176,0.867012
18.35809,0.8252239
17.451885,0.7804241
13.891515,1.0393791
18.015165,0.8294296
19.077435,1.14044
18.566982,0.852026
12.486772,1.4546614
16.42135,0.8151598
19.41032,0.8933258
19.66144,1.0501423
18.650875,0.940958
17.589552,0.76062775
18.135046,0.7872925
16.718416,1.0092354
18.44182,0.8960438
19.683619,0.98975754
19.627686,0.798399
18.808378,0.85837936
19.351187,1.0205956
17.596893,0.7640934
18.235922,0.83057976
13.370332,1.3143082
18.128874,0.8710613
19.444769,1.015686
19.929317,1.1700535
17.865091,0.7484894
13.967538,1.1924582
16.971077,0.9325676
18.30608,0.83695793
18.703413,0.9084873
16.939308,0.9747124
18.97997,0.9380455
18.621012,0.81293297
19.712488,1.0423546
17.976822,0.7948818
17.671759,0.7365761
18.78049,0.8096676
18.620697,0.895668
17.420164,0.79122543
18.841707,0.95664406
15.047186,1.0876265
19.085955,0.9929886
17.763432,0.7938099
17.9449,0.78896904
18.445818,0.90518
18.698666,0.88616943
19.525082,1.1354599
18.67629,0.88694
18.397718,0.8629074
17.821365,0.80892754
19.222519,0.92417145
17.822344,0.7839737
19.430216,1.107048
19.948608,1.3253822
18.09419,0.7251167
19.495905,1.0730267
17.94448,0.8501587
16.192259,1.0465269
18.811337,0.93797874
17.325855,0.7639656
17.927849,
15.514851,1.0596209
17.483032,0.7687664
17.15162,0.80802155
17.771292,0.8375168
17.82437,0.8364544
17.67412,
17.768112,
18.45121,0.8075981
19.382732,0.9990959
17.14487,0.79545784
17.63054,0.7899666
17.868696,0.794384
18.10404,0.8358364
18.895084,0.80571556
17.659533,0.7428379
18.17134,0.82240105
18.213314,0.7987461
17.22718,0.8110428
18.163073,0.7941036
17.627192,0.7813206
18.799301,0.80415535
19.555578,0.9690418
18.273903,0.85248756
19.583815,1.1296692
17.595343,0.7552624
19.079943,1.0019417
18.266134,0.83841896
18.931131,0.8044834
18.567364,0.9113121
18.8609,
19.786488,1.524086
17.49557,0.75969696
17.775444,0.80900574
18.188904,0.82242393
17.017218,0.9228802
19.61644,1.1401634
19.154903,0.96767616
18.834263,0.8973999
17.77208,0.81043434
19.87207,1.9082298
19.559637,
19.060839,0.9721527
18.19555,0.8238754
13.527991,1.2466154
18.44267,1.0436172
17.981527,0.7669468
18.913275,0.9100857
17.875826,0.78482246
17.273935,0.76864433
19.10329,
17.52706,0.75253296
17.630959,0.7663784
17.504072,0.77592087
14.537912,1.1585875
18.136734,
19.352879,1.0278797
17.809858,0.7625389
14.332008,1.1516972
