ra,dec
201.75801820253795,-47.7237550975165
201.7585622064486,-47.721073139770986
201.76952436056396,-47.71012040138079
201.80690207205768,-47.71663474098355
201.82372761720538,-47.709261378383516
201.8398531780853,-47.69962691874998
201.84088555277185,-47.69382462749348
201.83746657424368,-47.699813571496435
201.85153073564956,-47.69719644242561
201.8665430337202,-47.69032715734671
201.85493085187787,-47.68947500494429
201.86145832376528,-47.687288774888316
201.8622125469567,-47.682711984596
201.85724495048228,-47.68671953601268
201.8623820553865,-47.686105836518735
201.85285190157825,-47.6958073571889
201.86895130222337,-47.6852765240435
201.86606244266503,-47.68134986876413
201.86423010131003,-47.680264444539056
201.85038134861594,-47.688238801534254
201.7952093574376,-47.71918589332953
201.8008242937743,-47.7092210593847
201.798191103597,-47.70754087118346
201.80301157941363,-47.70184746252001
201.7977290067414,-47.711038774813076
201.8075410575705,-47.7060031640371
201.81506921266174,-47.7002601677431
201.81387553046034,-47.707408765037705
201.80650770189143,-47.70280510878651
201.7992839884599,-47.69404240588171
201.80104271086466,-47.69861932123057
201.79870305928355,-47.703568425171845
201.8126901423223,-47.69373344992832
201.81026987642446,-47.68105565446981
201.82259448376638,-47.68832975993639
201.83066212514797,-47.684362103082606
201.83130331242307,-47.69253117571611
201.83222269533138,-47.69689430939651
201.84028017374845,-47.68892935145884
201.83907164049896,-47.68126175179429
201.83670193314083,-47.692623211475706
201.83964078883926,-47.68188730545504
201.8317831972693,-47.68726605615761
201.83982684269762,-47.68642024455212
201.85837576356155,-47.67361795830627
201.84350750179055,-47.677814997558826
201.85810439571145,-47.67574261531772
201.85829487192618,-47.67171166713652
201.8581038412071,-47.66884373634728
201.8508541887534,-47.676656111535245
201.85543432172523,-47.67259242158761
201.85998401146077,-47.67054948081594
201.84263504580252,-47.67612625135515
201.82151046731022,-47.68212391011623
201.81913346357578,-47.675376597759936
201.8256507906666,-47.671119776478946
201.83475836866543,-47.66845252727215
201.83396754313165,-47.66485452270777
201.82733395015904,-47.67180799237474
201.84199935031927,-47.66531946134164
201.85886232845263,-47.66385670658188
201.8431821703048,-47.661743748891794
201.8438838717086,-47.65900633459
201.8484196493988,-47.65642483755312
201.85832990203082,-47.660793503687316
201.68294681642556,-47.7202337727275
201.67419448147098,-47.72842129137115
201.676796747694,-47.7280662008343
201.68263600899715,-47.72620290763307
201.6760317585966,-47.722458534443604
201.65073207155967,-47.72212021416397
201.66735871359808,-47.72440123959343
201.67357353018576,-47.72058483125645
201.66946328726706,-47.70974697225194
201.67702918782183,-47.70902284750174
201.5724056680675,-47.707408576878876
201.57770025696598,-47.711261451356506
201.6313381631039,-47.72435193621557
201.6179727101314,-47.71399784786597
201.61746626457685,-47.71625247956648
201.64349264098558,-47.72335317830525
201.6424571191304,-47.71624530867263
201.65338330631405,-47.71714006124127
201.65472768685257,-47.71344721511279
201.65941155937568,-47.71357069722836
201.64082872001433,-47.70998377421731
201.6648954841301,-47.70529167870073
201.66808811230518,-47.701564178965164
201.6609336932881,-47.69737925886777
201.6641100263753,-47.69891105248
201.67473583443694,-47.702071304354135
201.67275266539923,-47.69830197108118
201.66634639899803,-47.69351319104925
201.67061309461172,-47.69183693056383
201.63426418860237,-47.69964912282707
201.64869285138482,-47.70301354171834
201.63220233464102,-47.70409229464695
201.66541402562373,-47.68801575236067
201.65441848904962,-47.69418521868283
201.6529780084047,-47.6900350501617
201.6005723106724,-47.71477617090901
201.59868237706834,-47.70885581771398
201.62701977551862,-47.70220204309943
201.6230125096179,-47.69855922774645
201.62607225163558,-47.69944155242469
201.62858430310254,-47.69838927336408
201.59612116782938,-47.70418250518423
201.60701854393244,-47.68697085320701
201.61709990802325,-47.68048898668211
201.64345765763775,-47.67525193101918
201.6360048796667,-47.68537929401241
201.6406474876739,-47.68864994635886
201.64214011811376,-47.68397837941465
201.64471100570205,-47.68528093318169
201.64713790402087,-47.68557416300713
201.64557994291087,-47.683706631867864
201.64140974786065,-47.67895261958878
201.64534005684104,-47.68833926326664
201.64939633940742,-47.68394429204451
201.66436016280377,-47.67235130403653
201.6541220058602,-47.68045218486047
201.65719417029047,-47.67671252962299
201.66146163396726,-47.67334728160894
201.66243913320926,-47.67023328490016
201.6501287513244,-47.68592898757555
201.6603039573933,-47.6767126435253
201.6629869470434,-47.67692818130051
201.6206067941037,-47.67763986090775
201.62559195124305,-47.675897760080375
201.62737476221497,-47.673203971869796
201.63491603688706,-47.675642950204605
201.63055087554054,-47.67036350322686
201.62069750787632,-47.67971123190447
201.64144370236414,-47.6676113182549
201.64520999948758,-47.673438153850526
201.64237014974876,-47.6684234654821
201.65075880468936,-47.668839946328
201.64603533376314,-47.66137623392608
201.65307159152732,-47.66367016539033
201.65766283949276,-47.657231342243534
201.64789245816738,-47.6598815933063
201.65343725845733,-47.65647861048155
201.65312829933725,-47.655154214589
201.6419686928178,-47.66080161968631
201.7168014337923,-47.72776629720455
201.71862456597688,-47.72604981530786
201.71918590516128,-47.725041022587305
201.73051556634923,-47.72428846476982
201.70059198315656,-47.725316613071506
201.71109628943782,-47.72744363755752
201.71005272691727,-47.715743994483844
201.70771096937355,-47.72868512258856
201.6944810380313,-47.728515772833894
201.69963539310328,-47.728428679515275
201.72261267784813,-47.713419320927514
201.7232933907231,-47.71463202347608
201.71902195925577,-47.72134465998991
201.7446168178853,-47.72121790529155
201.757569496673,-47.706545678396694
201.76761318914834,-47.70711579780688
201.76857879678815,-47.69944485055028
201.76713090804878,-47.69320225703962
201.76832106651193,-47.69439470904921
201.7565535580259,-47.703444601803405
201.77337526599422,-47.690661340869624
201.73565887982184,-47.70402785360158
201.73659887300423,-47.70735138250481
201.74720160325475,-47.70370868736169
201.7344894796776,-47.70544798857575
201.73570365479966,-47.69649176351025
201.74036608407246,-47.69611077440173
201.75831297630532,-47.6923254607374
201.75359738005886,-47.68531729654996
201.75448224090434,-47.69800996608094
201.75248779885462,-47.69586455853561
201.7559422008044,-47.69418025943678
201.75840840806805,-47.69182769220187
201.76445390503048,-47.68909317955531
201.75026546884587,-47.688409745330226
201.75349824572461,-47.693208285148174
201.76921143149488,-47.6897902014144
201.76531858171128,-47.68202296933426
201.76311980307096,-47.690014056359374
201.69614419661087,-47.717692113704246
201.69372858116756,-47.715573194918235
201.69654130806435,-47.71058794367667
201.70042030957387,-47.71288366048932
201.70312953175082,-47.712290166315746
201.70245285825214,-47.70754140921926
201.705389792834,-47.70620453398424
201.70706499670638,-47.713718456633735
201.72279565120272,-47.699679150521966
201.7095465040202,-47.70178088722784
201.72118344579133,-47.70440595500864
201.71530851006185,-47.69770397735193
201.72045229892916,-47.690687746328635
201.70684166964392,-47.704810278360405
201.72120555212706,-47.69959219664173
201.69234300288113,-47.69938283566223
201.68304562829275,-47.70711859972652
201.6897022858336,-47.70118501948043
201.6899738810531,-47.694919529611276
201.6980152053901,-47.693243112673244
201.69838647194084,-47.6913122662346
201.69663750574202,-47.68956687911252
201.6973303861986,-47.70303019944125
201.70178848231208,-47.689384166482405
201.7034439739605,-47.69437646386776
201.71026908635312,-47.695384187178924
201.70502973903368,-47.68593778986647
201.70465920116067,-47.68509410164986
201.71111444709942,-47.68493134004245
201.7209246134771,-47.68767841107578
201.7164743165226,-47.681944182160265
201.73486225838118,-47.69611358706397
201.72506723870552,-47.68801798005901
201.72673776560117,-47.68752934745705
201.72563383826665,-47.68776764226525
201.73244567124286,-47.69217847060007
201.73521125177052,-47.691418900171165
201.7340956417662,-47.686832389068186
201.73367346799463,-47.68580424237694
201.73461945635398,-47.68400635191754
201.73707964687821,-47.68270364200601
201.74139073450306,-47.68937994293074
201.74986412925884,-47.68624479219997
201.74956420951662,-47.68541701443105
201.7531422093159,-47.68175771988582
201.75608400574066,-47.67490627689362
201.76214438818496,-47.677930339652825
201.7490119771529,-47.68027736348329
201.72201133142337,-47.676716119030715
201.72029589294036,-47.67524303735644
201.72980124572533,-47.68021536620048
201.7287181215274,-47.6777342864358
201.73473965833946,-47.675756231527394
201.7408763873209,-47.674633358895825
201.74446198628536,-47.67448486594347
201.74327387900544,-47.66519824346352
201.75679689102253,-47.65835839986048
201.75293319018965,-47.66456991341088
201.77964820164658,-47.68760883473888
201.779299321881,-47.69393894109507
201.77989712357825,-47.69702612556266
201.77982737463418,-47.695460015560585
201.77990285711851,-47.69520941806023
201.78980512476969,-47.69364988694232
201.78025111918672,-47.691846004624296
201.78090354938152,-47.68406482420401
201.78260868375915,-47.696993391909835
201.79699942154008,-47.674729539455235
201.81072219373004,-47.67653122356524
201.8021171875301,-47.68392014435482
201.80338244111576,-47.68364197740627
201.80443915416532,-47.68327276394265
201.79583110115848,-47.67515828277031
201.77708044763446,-47.672520625502614
201.774083563434,-47.685403464326505
201.78183092296342,-47.66708455728354
201.78005682423935,-47.68241396659546
201.77854988500886,-47.67973560256221
201.79488790422783,-47.665468548291486
201.78905663391075,-47.66724714816763
201.79963856494538,-47.66344709165994
201.80551681142694,-47.6618302250657
201.80378749724113,-47.6580476216787
201.80491967316374,-47.654395515819544
201.820461072278,-47.67204850737349
201.82768118413702,-47.65445066706561
201.82030712780755,-47.67289887674761
201.8229796814375,-47.67039516004035
201.8236191280913,-47.67008872598627
201.8177407019038,-47.666266258081365
201.83000171598982,-47.66516326426072
201.8193996412614,-47.66041564712363
201.81987475284808,-47.66134123717392
201.8259012826366,-47.660776257978014
201.8312190740751,-47.66069642713884
201.8249848784507,-47.65911718105852
201.82327050781,-47.6574421549243
201.820128305407,-47.65896759235699
201.82535199840257,-47.66422916276451
201.81838821387458,-47.663479166598236
201.84951466563143,-47.644608006014685
201.83147995703416,-47.65307300247409
201.83953150025994,-47.65280286434509
201.83548527570085,-47.65200356890542
201.851375689138,-47.65095177073241
201.84281556540526,-47.64888349445503
201.8507723243743,-47.646111544491305
201.8353078886777,-47.65675174679995
201.84503949471926,-47.651509998771886
201.8118380523415,-47.658217114227206
201.8191341039133,-47.65151114456411
201.81587533036617,-47.65248958088365
201.80765239275837,-47.65198735164184
201.82705817597275,-47.6523417936673
201.81510227768564,-47.65017079506361
201.82597448292543,-47.64849333232681
201.82425717017034,-47.6470911626302
201.82084317275115,-47.64116612780502
201.810590131907,-47.66113363179261
201.81987882392903,-47.642297739487965
201.8079244628561,-47.65439542421136
201.83085452768532,-47.643599078799646
201.82710419470348,-47.644668955317556
201.84450989597252,-47.6414374827364
201.83889549938692,-47.63382987787656
201.83361010015622,-47.643393056620035
201.83274995845,-47.63897324611807
201.8414458414436,-47.63838654417975
201.83266338665527,-47.63432889096068
201.77885866680944,-47.6676013511573
201.76656642278147,-47.66376765486897
201.78449326418132,-47.66210972485166
201.76892209872364,-47.659076626772055
201.7832119684879,-47.664898480495175
201.78661517621472,-47.66071059778301
201.79392591742564,-47.65772113742297
201.7863746888484,-47.65611471221444
201.7856559725167,-47.65205727892934
201.79626057968784,-47.65205034730159
201.79365657958394,-47.64306892467177
201.75933050448546,-47.65949097671495
201.76214806414742,-47.65904928314487
201.76586898797703,-47.658137360207455
201.76669658333026,-47.64936702170838
201.76909614108962,-47.65841561006425
201.76681061813264,-47.64785933041741
201.76825878149796,-47.656997799765286
201.777032781566,-47.65043415107548
201.78218635792993,-47.64380060193767
201.77754281309893,-47.640114312927146
201.790676735505,-47.631427139503174
201.79578720901617,-47.63829782079682
201.78233721384777,-47.634456118186456
201.80519055049916,-47.647204640783784
201.81229654427452,-47.64500857420897
201.80130776809926,-47.644642593145285
201.81573579928846,-47.64254423809712
201.81583585019087,-47.64285019316451
201.81863533331526,-47.64174695362856
201.8148461140574,-47.640691521334226
201.80598706834337,-47.63739432101546
201.81959832004287,-47.635628940597044
201.81165789926095,-47.6328318166175
201.81860740273964,-47.6298890849239
201.8096906206325,-47.63643582430185
201.8248367198671,-47.631073818606495
201.8304186991108,-47.62797929777286
201.8261560502802,-47.62656535698038
201.83840350346358,-47.62301800601854
201.8365276088989,-47.6228163856051
201.82764374404212,-47.62122271658483
201.83254582168288,-47.62036632940449
201.8324039650782,-47.623932510251194
201.83060770815396,-47.621115641089496
201.8349366019477,-47.61990743320812
201.83694907837537,-47.62009674438647
201.8385370010288,-47.62601263549899
201.81000823641477,-47.6215616456656
201.79727625807433,-47.6346707801541
201.80812805036652,-47.6325687912805
201.8036366221708,-47.6325915429953
201.81230086724878,-47.62757132497603
201.79685538172862,-47.629371034848575
201.809392228382,-47.623462383453045
201.8040111790529,-47.627771769544424
