phot_g_mean_mag,bp_rp
17.210058,1.2749462
19.78483,1.902153
18.351168,1.460228
19.94856,1.9264584
13.8016,1.5239229
16.964334,1.2614651
19.550337,1.5640488
15.1434765,1.4284973
16.948544,1.2415524
18.413498,1.5365734
19.174849,1.7062435
17.719704,1.3655643
16.459923,1.2331581
18.298048,1.451994
18.905127,1.5687752
19.67212,1.8484936
17.79657,1.3279533
18.95537,1.5967693
15.855805,1.4191542
16.13713,1.2780676
16.792223,1.2444801
19.699472,1.7740211
19.492,1.7936783
16.80005,1.2781258
19.105274,1.641119
17.46838,1.2938557
16.141102,1.2491817
17.47032,1.3207417
17.970423,1.3602829
18.157843,1.4018421
11.878925,1.6941824
16.010431,1.2988605
19.860394,1.8329372
19.67786,
16.840965,1.2227039
18.322502,1.536541
17.9173,1.4023361
18.166716,1.3892326
16.944096,1.2541466
17.61784,1.3529606
17.438738,1.300457
17.98452,1.5494957
17.875244,1.3220501
17.327978,1.2325382
17.891516,1.3329048
20.019247,1.891716
17.272264,1.2911949
16.9994,1.2839184
18.241234,1.4262371
16.515232,1.2592583
16.22749,1.2705488
15.792844,1.4247599
16.903437,1.2448311
19.044851,1.6063824
18.047527,1.3624191
19.698978,1.7582226
16.768557,1.2266006
16.938898,1.2418079
17.016623,1.2359447
13.090076,1.0716438
19.39793,1.9175301
20.447533,1.6667004
16.274397,1.2366753
20.514008,1.7252636
17.084074,1.2565899
17.065405,1.2516899
17.101377,1.2765198
18.415207,1.4796429
20.07139,1.7381229
16.613258,1.2167082
18.156448,1.4478016
17.471525,1.2875385
16.544498,1.2523203
17.978453,1.4049549
17.36364,1.2876682
16.913246,1.2892246
19.140862,3.011385
15.107198,1.5091934
19.342358,1.8163013
18.079124,1.3876514
14.677822,1.5263472
16.0162,1.3260212
16.202875,1.2953072
17.339077,1.2598324
20.272764,2.511362
19.109194,1.9320278
19.704073,1.9215584
18.582745,1.5784054
17.123873,1.3371868
17.479065,1.3632164
20.251335,1.4601994
20.53978,
16.746325,1.3122082
19.410954,1.7826385
17.24142,1.2703648
16.416307,1.2552605
16.072378,1.3465881
17.517153,1.316824
17.362907,1.3041801
16.265802,1.3031349
16.385899,1.2728882
17.542818,1.347395
13.23332,1.1616621
19.521849,1.7842102
16.0064,1.4414358
19.523367,1.7186642
18.152933,1.4263325
16.613144,1.2877388
18.727358,1.5428696
19.755987,1.6286812
17.99513,1.399313
17.09064,1.396328
18.451202,1.4804134
18.0035,1.5522575
16.164043,1.2974625
17.92397,1.412138
13.201409,1.1879196
16.353115,1.3539333
17.150763,1.2908688
19.387903,1.8622055
16.279097,1.2689095
17.488989,1.3156013
17.31484,1.0799828
18.007406,1.3939495
16.782305,1.2705421
16.238579,1.2486143
17.196667,1.3097267
20.394766,1.7948322
16.256245,1.3080769
16.233908,1.3560171
17.041132,1.2829437
20.633923,2.7326756
16.568121,1.3013248
15.266552,1.5024118
16.750458,1.2110558
17.973122,1.3636703
19.883476,2.1308556
17.088469,1.3458748
19.54197,1.6876373
16.774588,1.3013248
18.793358,
16.975197,1.3024406
19.061268,1.3644562
15.481209,0.93948174
18.100527,1.3814545
16.51342,1.3853989
16.863522,1.2996655
17.695074,1.4540806
17.55388,1.2765255
16.40735,1.2494249
17.40397,1.2420158
16.787724,1.2459087
16.919348,1.6357098
17.292944,1.3415661
16.655235,1.2424259
16.972752,1.2195377
17.195274,1.2110081
17.533176,1.2603607
20.306927,1.3880386
16.649181,1.1878643
13.885001,1.5057745
15.968162,1.3942347
16.98269,1.233305
17.892717,1.3730946
18.866793,
19.575323,1.8220234
16.710207,1.2262917
16.907623,1.3327227
15.895156,1.3662481
16.690025,
18.852238,1.5153236
16.361206,1.2329578
15.047852,1.4502268
18.12856,1.2552052
17.802702,1.3766747
16.461428,1.1989594
17.318293,1.2583332
,
18.875492,
,
11.07274,1.8827991
17.148565,1.3496552
18.557049,
17.214275,1.310194
16.295643,1.3339939
19.975626,
16.624567,1.2572918
18.33579,
11.167607,1.7996616
17.05334,
16.32842,1.3326483
13.267717,1.2039223
16.714298,
14.214051,1.5404978
16.240866,1.2150726
17.259064,
16.736408,
16.814297,
16.158026,1.3212452
17.232151,1.3734102
16.053377,1.3853312
16.444061,1.2905073
18.234428,1.1907578
16.151224,1.3186731
16.625513,1.2487106
19.526978,2.4978046
18.368547,1.4658833
16.212368,1.3064404
16.133848,1.3082199
16.052572,1.3846407
17.35515,1.3219948
,
16.030718,1.3082924
16.210295,1.3033018
16.390865,1.2405567
18.76457,1.7740364
17.00737,1.2328186
16.405972,1.5054102
17.210125,1.4567299
16.23171,1.253645
19.122799,2.2651615
17.665085,1.2423763
16.86394,1.2877045
15.597987,1.4230671
17.794645,1.2687244
16.916945,1.2921495
18.051287,
17.840017,1.1520672
13.0679455,1.2115307
17.354895,1.3050232
17.394022,1.2462196
16.401896,1.2248096
15.699356,1.4277601
15.97174,1.2861843
15.566525,1.4017792
16.344364,1.2020655
16.788118,0.95757294
16.450808,1.2268553
17.431742,1.2552071
16.974516,
17.85711,1.3218212
20.19367,
16.997145,1.2513447
16.42181,1.2830887
18.099905,1.4040489
16.52479,1.2572231
16.510782,1.2141066
17.061457,1.2439423
17.2571,
16.706245,1.2519102
16.179142,1.1932468
17.719652,1.2301598
17.830706,1.3713398
16.884413,1.24193
16.321209,1.2606974
16.045187,1.3746967
17.958027,1.3834114
19.224892,1.628046
17.073538,1.2731342
14.472025,1.5854168
20.268906,1.8128872
18.191614,1.5040989
17.64135,1.3915367
17.297073,1.3367386
17.97977,1.3923893
17.14435,1.2821827
17.105778,1.2702198
16.715874,1.2632389
19.414429,1.717392
17.270988,1.3650913
19.696968,1.8419437
20.300493,1.8453712
16.031557,1.4019747
13.088117,1.1884861
18.060616,1.2591839
17.388159,1.3493099
19.51444,1.5556889
19.235023,1.7003593
17.636374,1.39464
17.820675,1.431654
12.434383,1.7994461
16.317627,1.3597574
19.136053,1.6747246
18.039268,1.4131565
15.93163,1.3863916
18.331472,1.6775379
16.928173,1.2644424
16.170364,1.2643995
16.754477,
18.234526,1.4223747
13.519881,1.5897074
18.761782,1.4060917
20.015179,
18.361893,1.4705601
20.17652,1.6855774
20.34002,1.807745
17.027863,1.2747555
17.381472,1.1707649
16.015438,1.4056044
19.186953,1.7915268
16.943525,1.2825241
18.916103,1.5895462
18.919327,
18.702576,1.5884151
16.868687,1.2774601
18.141619,1.4290142
16.530457,1.270772
15.443442,1.5423021
17.65187,1.3556519
18.393951,1.4738941
16.697939,1.2645979
17.48816,1.3560448
18.858181,1.5352192
19.833553,
15.622127,1.5017548
15.249058,1.516943
18.827177,1.5649624
14.163106,1.5503578
16.616705,1.2787924
16.514761,1.2687254
18.106386,1.4944687
18.459913,1.5359135
16.983326,1.2969131
16.150543,1.3210697
19.583076,
18.777622,1.5048752
16.954803,1.3005219
18.694742,1.6256485
19.332832,1.7699375
17.204876,1.3150578
18.89359,1.6202698
17.413,1.2965374
19.47726,1.7421703
18.780333,1.6018467
19.67053,2.0101242
17.289152,1.3204613
17.566193,1.2687397
18.090082,1.5135288
16.61973,1.1785183
19.501873,1.7056789
16.703218,1.1580887
16.304588,1.161685
16.488073,1.1703224
16.99983,1.2017441
18.352854,1.3951607
18.96019,1.5005436
16.131033,1.1824875
16.056835,1.1834879
16.862719,1.1666412
17.673904,1.2940445
18.214613,1.396883
16.595303,1.1741257
