phot_g_mean_mag,bp_rp
16.953608,0.77124023
16.783304,0.8903847
17.364672,0.94480705
18.139967,1.0108719
15.520258,1.0641727
17.900543,1.0322914
17.4844,0.9097271
17.784157,1.0135422
19.250542,
16.961842,0.88225937
18.122484,1.0192814
18.44333,1.0780792
17.176573,0.9042797
16.798267,0.8746605
18.02291,1.0198402
17.56873,0.94768333
17.167387,0.9063835
17.909237,1.0015354
17.972158,1.0180168
15.622894,0.9878273
17.356918,0.9831581
18.290539,1.0852509
19.115484,1.2348328
18.32511,1.0962658
16.354149,0.8768959
17.328733,
17.99974,1.0080585
18.094051,1.0890217
16.633541,0.85027695
18.29726,1.1398602
17.197979,0.9071312
17.978071,1.0207653
17.25329,0.91153526
18.283138,1.2301159
19.82603,1.4600353
17.725107,0.98150253
15.822344,0.94448185
17.885418,1.0234795
16.538515,0.8794098
15.617295,0.97029305
16.540878,0.875762
19.190569,1.2390099
18.658058,1.1536903
18.534805,1.1603355
18.463734,1.1316414
17.321112,0.92020607
17.99732,1.0085697
18.998276,1.0707283
16.253214,0.81976604
19.946173,1.5551682
16.625864,0.8311825
15.424322,1.0232105
17.815643,0.9944496
17.90681,0.9699383
17.765001,0.96245193
18.688349,1.1230545
18.715963,1.1851101
16.879139,0.8782387
18.817907,1.1455669
18.726244,1.1942215
17.333809,0.9081707
18.136803,1.039772
17.748274,0.93580246
18.249313,1.0342102
19.218132,1.3365936
18.466759,1.1256676
16.504248,0.8637943
16.801205,0.86016655
17.176702,0.8956795
18.198673,
19.798864,1.3836842
16.892859,0.8943405
16.96813,0.862381
16.988516,0.85497475
18.593237,1.1551933
17.86321,1.0003471
19.230566,1.2276039
18.730013,1.1988983
17.614645,0.95713615
17.754751,0.98840904
18.350933,
15.995281,0.87737465
16.380135,0.843112
16.870235,0.871788
17.04444,0.8567867
18.40966,
16.930857,
18.367392,1.1831722
19.063242,1.0895157
16.2228,0.9109516
17.553835,0.9562912
19.231153,1.2818489
19.085228,1.2233906
17.34264,0.93069077
16.378803,0.82474613
15.981471,0.8464775
16.71851,0.9160156
18.55846,1.1568336
17.189283,0.883688
16.539816,0.87388134
17.617176,0.90810585
17.644068,0.99194527
16.609852,0.8580723
17.78216,1.135212
15.357825,1.0578976
18.456596,1.1296577
17.035498,0.73916054
16.7636,1.1206703
17.233063,0.9266834
16.837618,0.8582783
18.974178,1.0030518
18.566452,1.0556431
17.196241,0.95015144
16.121315,1.0276098
15.532089,0.46023178
16.48496,0.8496628
16.237305,0.88081646
18.193516,
17.411999,
15.712245,0.92253494
16.308033,0.87214947
15.728021,0.8683891
17.017612,
17.14235,
13.213307,0.3172989
18.694914,1.1246071
18.103716,1.0357513
18.722904,1.1494884
19.879854,1.5432434
16.857782,0.87753105
17.42831,0.90208626
17.57559,0.9513416
17.602554,0.9331856
17.939213,1.0311661
17.696033,0.9690838
19.094408,
15.908237,0.8713646
15.680655,0.95599556
18.91327,1.1703091
19.28251,1.4626522
17.979076,1.0588512
18.890442,1.2250004
18.39034,
19.56713,1.4934998
19.773817,1.3392601
16.456827,0.8937578
17.488178,0.9363842
18.939268,1.2622128
16.652962,0.87509155
15.894511,0.89896584
17.396242,0.9659538
17.924013,1.0048065
18.582796,1.1522903
18.285158,1.0916634
18.156271,1.1626835
16.892681,0.85636616
17.47451,0.9233532
18.4598,1.071619
19.072042,1.3024998
18.28867,1.046669
17.400875,0.94355583
15.570485,1.0128565
18.826443,1.3032055
19.837557,1.4871616
16.967796,0.8920021
17.783792,1.0300903
18.290337,0.9848404
14.149381,1.0933275
19.55306,
15.791109,0.91455936
17.843721,1.0816422
17.963367,1.0285988
19.109844,
15.995922,0.8658314
17.048622,0.88871574
17.698736,
18.083853,1.2989941
19.982878,1.3286076
16.264412,0.84136105
18.630157,1.0524178
17.114416,0.8706074
19.26684,1.2368927
18.933395,1.2002335
16.758144,0.8590412
16.847965,0.881958
17.15141,1.0283546
18.998648,1.0026474
17.308575,0.93821335
18.347002,
16.827795,0.8834915
17.547564,0.95316696
16.577972,
17.233355,0.9027958
17.460869,0.9670391
16.747261,0.89684486
14.373022,1.1356478
16.60489,0.84733295
16.41934,0.82654
16.95567,0.9649544
16.072123,
16.023388,0.7952385
19.252138,1.0853767
15.84139,0.91198635
18.559958,1.1302872
18.071968,1.100977
17.071814,0.89365005
16.27487,0.87153244
